	0x0	0x1	0x2	0x3	0x4	0x5	0x6	0x7	0x8	0x9	0xA	0xB	0xC	0xD	0xE	0xF
BRK,00,IMP,7	ORA,01,IZX,6	ILL,02,ILL,0	ILL,03,ILL,0	ILL,04,ILL,0	ORA,05,ZP0,3	ASL,06,ZP0,5	ILL,07,ILL,0	PHP,08,IMP,3	ORA,09,IMM,2	ASL,0A,ACC,2	ILL,0B,ILL,0	ILL,0C,ILL,0	ORA,0D,ABS,4	ASL,0E,ABS,6	ILL,0F,ILL,0
BPL,10,REL,2*	ORA,11,IZY,5+	ILL,12,ILL,0	ILL,13,ILL,0	ILL,14,ILL,0	ORA,15,ZPX,4	ASL,16,ZPX,6	ILL,17,ILL,0	CLC,18,IMP,2	ORA,19,ABY,4+	ILL,1A,ILL,0	ILL,1B,ILL,0	ILL,1C,ILL,0	ORA,1D,ABX,4+	ASL,1E,ABX,7	ILL,1F,ILL,0
JSR,20,ABS,6	AND,21,IZX,6	ILL,22,ILL,0	ILL,23,ILL,0	BIT,24,ZP0,3	AND,25,ZP0,3	ROL,26,ZP0,5	ILL,27,ILL,0	PLP,28,IMP,4	AND,29,IMM,2	ROL,2A,ACC,2	ILL,2B,ILL,0	BIT,2C,ABS,4	AND,2D,ABS,4	ROL,2E,ABS,6	ILL,2F,ILL,0
BMI,30,REL,2*	AND,31,IZY,5+	ILL,32,ILL,0	ILL,33,ILL,0	ILL,34,ILL,0	AND,35,ZPX,4	ROL,36,ZPX,6	ILL,37,ILL,0	SEC,38,IMP,2	AND,39,ABY,4+	ILL,3A,ILL,0	ILL,3B,ILL,0	ILL,3C,ILL,0	AND,3D,ABX,4+	ROL,3E,ABX,7	ILL,3F,ILL,0
RTI,40,IMP,6	EOR,41,IZX,6	ILL,42,ILL,0	ILL,43,ILL,0	ILL,44,ILL,0	EOR,45,ZP0,3	LSR,46,ZP0,5	ILL,47,ILL,0	PHA,48,IMP,3	EOR,49,IMM,2	LSR,4A,ACC,2	ILL,4B,ILL,0	JMP,4C,ABS,3	EOR,4D,ABS,4	LSR,4E,ABS,6	ILL,4F,ILL,0
BVC,50,REL,2*	EOR,51,IZY,5+	ILL,52,ILL,0	ILL,53,ILL,0	ILL,54,ILL,0	EOR,55,ZPX,4	LSR,56,ZPX,6	ILL,57,ILL,0	CLI,58,IMP,2	EOR,59,ABY,4+	ILL,5A,ILL,0	ILL,5B,ILL,0	ILL,5C,ILL,0	EOR,5D,ABX,4+	LSR,5E,ABX,7	ILL,5F,ILL,0
RTS,60,IMP,6	ADC,61,IZX,6	ILL,62,ILL,0	ILL,63,ILL,0	ILL,64,ILL,0	ADC,65,ZP0,3	ROR,66,ZP0,5	ILL,67,ILL,0	PLA,68,IMP,4	ADC,69,IMM,2	ROR,6A,ACC,2	ILL,6B,ILL,0	JMP,6C,IND,5	ADC,6D,ABS,4	ROR,6E,ABS,6	ILL,6F,ILL,0
BVS,70,REL,2*	ADC,71,IZY,5+	ILL,72,ILL,0	ILL,73,ILL,0	ILL,74,ILL,0	ADC,75,ZPX,4	ROR,76,ZPX,6	ILL,77,ILL,0	SEI,78,IMP,2	ADC,79,ABY,4+	ILL,7A,ILL,0	ILL,7B,ILL,0	ILL,7C,ILL,0	ADC,7D,ABX,4+	ROR,7E,ABX,7	ILL,7F,ILL,0
ILL,80,ILL,0	STA,81,IZX,6	ILL,82,ILL,0	ILL,83,ILL,0	STY,84,ZP0,3	STA,85,ZP0,3	STX,86,ZP0,3	ILL,87,ILL,0	DEY,88,IMP,2	ILL,89,ILL,0	TXA,8A,IMP,2	ILL,8B,ILL,0	STY,8C,ABS,4	STA,8D,ABS,4	STX,8E,ABS,4	ILL,8F,ILL,0
BCC,90,REL,2*	STA,91,IZY,6	ILL,92,ILL,0	ILL,93,ILL,0	STY,94,ZPX,4	STA,95,ZPX,4	STX,96,ZPY,4	ILL,97,ILL,0	TYA,98,IMP,2	STA,99,ABY,5	TXS,9A,IMP,2	ILL,9B,ILL,0	ILL,9C,ILL,0	STA,9D,ABX,5	ILL,9E,ILL,0	ILL,9F,ILL,0
LDY,A0,IMM,2	LDA,A1,IZX,6	LDX,A2,IMM,2	ILL,A3,ILL,0	LDY,A4,ZP0,3	LDA,A5,ZP0,3	LDX,A6,ZP0,3	ILL,A7,ILL,0	TAY,A8,IMP,2	LDA,A9,IMM,2	TAX,AA,IMP,2	ILL,AB,ILL,0	LDY,AC,ABS,4	LDA,AD,ABS,4	LDX,AE,ABS,4	ILL,AF,ILL,0
BCS,B0,REL,2*	LDA,B1,IZY,5+	ILL,B2,ILL,0	ILL,B3,ILL,0	LDY,B4,ZPX,4	LDA,B5,ZPX,4	LDX,B6,ZPY,4	ILL,B7,ILL,0	CLV,B8,IMP,2	LDA,B9,ABY,4+	TSX,BA,IMP,2	ILL,BB,ILL,0	LDY,BC,ABX,4+	LDA,BD,ABX,4+	LDX,BE,ABY,4+	ILL,BF,ILL,0
CPY,C0,IMM,2	CMP,C1,IZX,6	ILL,C2,ILL,0	ILL,C3,ILL,0	CPY,C4,ZP0,3	CMP,C5,ZP0,3	DEC,C6,ZP0,5	ILL,C7,ILL,0	INY,C8,IMP,2	CMP,C9,IMM,2	DEX,CA,IMP,2	ILL,CB,ILL,0	CPY,CC,ABS,4	CMP,CD,ABS,4	DEC,CE,ABS,6	ILL,CF,ILL,0
BNE,D0,REL,2*	CMP,D1,IZY,5+	ILL,D2,ILL,0	ILL,D3,ILL,0	ILL,D4,ILL,0	CMP,D5,ZPX,4	DEC,D6,ZPX,6	ILL,D7,ILL,0	CLD,D8,IMP,2	CMP,D9,ABY,4+	ILL,DA,ILL,0	ILL,DB,ILL,0	ILL,DC,ILL,0	CMP,DD,ABX,4+	DEC,DE,ABX,7	ILL,DF,ILL,0
CPX,E0,IMM,2	SBC,E1,IZX,6	ILL,E2,ILL,0	ILL,E3,ILL,0	CPX,E4,ZP0,3	SBC,E5,ZP0,3	INC,E6,ZP0,5	ILL,E7,ILL,0	INX,E8,IMP,2	SBC,E9,IMM,2	NOP,EA,IMP,2	ILL,EB,ILL,0	CPX,EC,ABS,4	SBC,ED,ABS,4	INC,EE,ABS,6	ILL,EF,ILL,0
BEQ,F0,REL,2*	SBC,F1,IZY,5+	ILL,F2,ILL,0	ILL,F3,ILL,0	ILL,F4,ILL,0	SBC,F5,ZPX,4	INC,F6,ZPX,6	ILL,F7,ILL,0	SED,F8,IMP,2	SBC,F9,ABY,4+	ILL,FA,ILL,0	ILL,FB,ILL,0	ILL,FC,ILL,0	SBC,FD,ABX,4+	INC,FE,ABX,7	ILL,FF,ILL,0